an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-general-barem.pdf,bac/2012/romana/sesiune-iunie-iulie/2012-iunie-iulie-general-barem.pdf,117271,5ccfd8ef65458cc4b1dbe3e9a21cb4bf2170d3235ee0898bbb510791692d2821
2012,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-general-subiect.pdf,bac/2012/romana/sesiune-iunie-iulie/2012-iunie-iulie-general-subiect.pdf,128142,9c3810a4ecae9b6a82bb0073ea3e8c3d160a066ceeba375769871e072f529434
2013,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-real-tehnologic-barem.pdf,bac/2013/romana/sesiune-iunie-iulie/2013-iunie-iulie-real-tehnologic-barem.pdf,49462,8ac9ba091b7dee78d8d13b53d91d23ee539656a30ab2f46a4ee5135671f7af98
2013,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-real-tehnologic-subiect.pdf,bac/2013/romana/sesiune-iunie-iulie/2013-iunie-iulie-real-tehnologic-subiect.pdf,51608,78fb1d35c90e83861027bc93f1d8f26c5b5256fa46b47d5c6fb111af24a03439
2013,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-uman-pedagogic-barem.pdf,bac/2013/romana/sesiune-iunie-iulie/2013-iunie-iulie-uman-pedagogic-barem.pdf,48696,314cba41a94db803e925cf1c2711e6c726516f58fd42502b7a77fd275b0525a4
2013,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-uman-pedagogic-subiect.pdf,bac/2013/romana/sesiune-iunie-iulie/2013-iunie-iulie-uman-pedagogic-subiect.pdf,52062,2e7dedc75cd753596ab785f2045d40fe07cb43765236a701d271962154a0116e
2013,romana,Limba romana,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-real-tehnologic-barem.pdf,bac/2013/romana/sesiune-speciala/2013-speciala-real-tehnologic-barem.pdf,133661,57d9c85f7f1ad031e44867aabc64b8e76cf1dca0a1f28b12e5b1006372e242e5
2013,romana,Limba romana,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-real-tehnologic-subiect.pdf,bac/2013/romana/sesiune-speciala/2013-speciala-real-tehnologic-subiect.pdf,109274,dfa2e27d9438bf3e7001d1d105e3aef9e299079992b61f064b0888232407996f
2013,romana,Limba romana,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-uman-pedagogic-barem.pdf,bac/2013/romana/sesiune-speciala/2013-speciala-uman-pedagogic-barem.pdf,133251,954bfae420b7d8db6b27d74d473682e171e148e7a8a3cbfd4569a26ab31e49c6
2013,romana,Limba romana,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-uman-pedagogic-subiect.pdf,bac/2013/romana/sesiune-speciala/2013-speciala-uman-pedagogic-subiect.pdf,106434,4601045905d16ec8c8cdc5e06a8f46cfe562af4805f2eafcbf164ffdbcc3d278
2014,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-real-tehnologic-barem.pdf,bac/2014/romana/sesiune-iunie-iulie/2014-iunie-iulie-real-tehnologic-barem.pdf,50685,7e6fdf0fec846b77adcf41846704be070618d8ffa9526ce71d295193d2552a57
2014,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-real-tehnologic-subiect.pdf,bac/2014/romana/sesiune-iunie-iulie/2014-iunie-iulie-real-tehnologic-subiect.pdf,53231,2c76edc7bcabdbb7eda5ab38679571c92adf4abe45a2e717cb2a51dfd2f2f206
2014,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-uman-pedagogic-barem.pdf,bac/2014/romana/sesiune-iunie-iulie/2014-iunie-iulie-uman-pedagogic-barem.pdf,50631,52100e2e2dc7c44bb0bb21e8cc45a77e4f2d2000605970002d0adf8fe421f6cf
2014,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-uman-pedagogic-subiect.pdf,bac/2014/romana/sesiune-iunie-iulie/2014-iunie-iulie-uman-pedagogic-subiect.pdf,53418,557b98f480cc2bbd3fa9e4c2dd4d8a26dbaed967aed2975261620b7a161a5654
2014,romana,Limba romana,simulare,Simulare,barem,2014-simulare-real-tehnologic-barem.pdf,bac/2014/romana/simulare/2014-simulare-real-tehnologic-barem.pdf,42612,02eb1344463e37cb666ad0d992fc131aacd47fb720a28aa2b0d609e2b77e80b4
2014,romana,Limba romana,simulare,Simulare,subiect,2014-simulare-real-tehnologic-subiect.pdf,bac/2014/romana/simulare/2014-simulare-real-tehnologic-subiect.pdf,51777,c8d54bb18859654cdc1bbacf8c259272eb5476785aa6c057789b993050b7e3d8
2014,romana,Limba romana,simulare,Simulare,barem,2014-simulare-uman-pedagogic-barem.pdf,bac/2014/romana/simulare/2014-simulare-uman-pedagogic-barem.pdf,41592,10a29cd091402f79a4e0346371a3f92040e23094ec4f2ac0bcedee6185ab2628
2014,romana,Limba romana,simulare,Simulare,subiect,2014-simulare-uman-pedagogic-subiect.pdf,bac/2014/romana/simulare/2014-simulare-uman-pedagogic-subiect.pdf,42982,e0e94826c0e8cdad5b12271e0cdac485da92b05832448801d9540dc350d1ac02
2015,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-real-tehnologic-barem.pdf,bac/2015/romana/sesiune-iunie-iulie/2015-iunie-iulie-real-tehnologic-barem.pdf,53959,53636a43456b33a2f5ccdaf567e14769f981e71e1cca4f196d528029034c2b00
2015,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-real-tehnologic-subiect.pdf,bac/2015/romana/sesiune-iunie-iulie/2015-iunie-iulie-real-tehnologic-subiect.pdf,60567,35b8f92d03602fae29131673311054f39df6374f19fbdd4352b75c9738f4b33e
2015,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-uman-pedagogic-barem.pdf,bac/2015/romana/sesiune-iunie-iulie/2015-iunie-iulie-uman-pedagogic-barem.pdf,52764,ffc2e0e7a28dc154aff9819a0da26b5a8de06b37273090d391349cd27f0b95ff
2015,romana,Limba romana,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-uman-pedagogic-subiect.pdf,bac/2015/romana/sesiune-iunie-iulie/2015-iunie-iulie-uman-pedagogic-subiect.pdf,54913,f9cd21b086307eb19702c817bb606ae3f486053712cd34a2bb677919d2730979
2015,romana,Limba romana,simulare,Simulare,barem,2015-simulare-real-tehnologic-barem.pdf,bac/2015/romana/simulare/2015-simulare-real-tehnologic-barem.pdf,52819,d6f706bcc72d0bf177eb4a64216ce12aa323d619fb0e4186b979555263fec1e2
2015,romana,Limba romana,simulare,Simulare,subiect,2015-simulare-real-tehnologic-subiect.pdf,bac/2015/romana/simulare/2015-simulare-real-tehnologic-subiect.pdf,62197,cb08563b0997285d5ef2b5e92f1da2ad79ba2356077aa6adb6d48494d13357ee
2015,romana,Limba romana,simulare,Simulare,barem,2015-simulare-uman-pedagogic-barem.pdf,bac/2015/romana/simulare/2015-simulare-uman-pedagogic-barem.pdf,52105,8c49efc4e0c711904126bd8802527a256b7f4b15278a3944364d57b82a91a1db
2015,romana,Limba romana,simulare,Simulare,subiect,2015-simulare-uman-pedagogic-subiect.pdf,bac/2015/romana/simulare/2015-simulare-uman-pedagogic-subiect.pdf,60144,af8ee034fa947ddc563f8f63e69d75220dabfa21508ed986349a1a087b7e57c6
