an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/fizica/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,188219,47b161c0c34cefadaf8e12ef44423251096a646d59bfe16bb51f6580c5620a64
2012,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/fizica/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,2642806,684d3e091fe938ae63d64ce7b9255a20dcabd43390627e971737f59e7a79e3f4
2013,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-tehnologic-barem.pdf,bac/2013/fizica/sesiune-iunie-iulie/2013-iunie-iulie-tehnologic-barem.pdf,54835,089adae7fb476485990556b08fa177b6d68af9d5d96b221b3d2b366d29a90901
2013,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-tehnologic-subiect.pdf,bac/2013/fizica/sesiune-iunie-iulie/2013-iunie-iulie-tehnologic-subiect.pdf,155455,de332e2a30212833eae191b36dad46f490e73e9a75040d2a92b058e1032364a2
2013,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-teoretic-vocational-barem.pdf,bac/2013/fizica/sesiune-iunie-iulie/2013-iunie-iulie-teoretic-vocational-barem.pdf,68015,686668dbfd881f3656873eb4593eac51b69004fefff2fd1db70a8b0e56a60fd4
2013,fizica,Fizica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-teoretic-vocational-subiect.pdf,bac/2013/fizica/sesiune-iunie-iulie/2013-iunie-iulie-teoretic-vocational-subiect.pdf,163279,28f05e73c343cf56a6d06ccbb81fc1336450740e8daae1181133e7986e2f46d5
2013,fizica,Fizica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-tehnologic-barem.pdf,bac/2013/fizica/sesiune-speciala/2013-speciala-tehnologic-barem.pdf,229452,29080d83dbc0055b01f195fa4a790b187d36ddfbe1769911f30ff27e5dec9b2c
2013,fizica,Fizica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-tehnologic-subiect.pdf,bac/2013/fizica/sesiune-speciala/2013-speciala-tehnologic-subiect.pdf,1105156,c5d8668a8d6301065e98fcc3e9524e0bb10dd26c3018a45620bc465750532b82
2013,fizica,Fizica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-teoretic-vocational-barem.pdf,bac/2013/fizica/sesiune-speciala/2013-speciala-teoretic-vocational-barem.pdf,234223,ae32fae2cf3228c2888a81d1e45ed51bcf0763836e3e01f877b8386e18f801b7
2013,fizica,Fizica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-teoretic-vocational-subiect.pdf,bac/2013/fizica/sesiune-speciala/2013-speciala-teoretic-vocational-subiect.pdf,907136,4bd1e79efd9338ccdaa2dee4586c9fdc452242ca69832e56782624e353c9cc09
