an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-anatomie-fiziologie-barem.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-anatomie-fiziologie-barem.pdf,78343,93702cc10ceec74553869922f0bbcaf94abc55d4a630db1044ea68f8e8108260
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-anatomie-fiziologie-subiect.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-anatomie-fiziologie-subiect.pdf,92845,138e6ef0b0f09fbbfb44fd1949684989ec03494d38416801804e74ecf4e42acc
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-vegetala-animala-barem.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-vegetala-animala-barem.pdf,75330,fd9537cbf65ef9f5a37b5d8d90ee71c2ac70cecc6d80ef44b69dd1a8ad4f32b2
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-vegetala-animala-subiect.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-vegetala-animala-subiect.pdf,97598,ac75c6c5a02a6749ba57239bea3c8d56c92b1d7f5b9fa0ee16b34cda32b678e3
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-anorganica-barem.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-anorganica-barem.pdf,87373,c118ef9f94b323ccfd83560e17bbb0c1aed36a829c50f78e7794a42af02de30b
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-anorganica-subiect.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-anorganica-subiect.pdf,148499,7be1a7754657d99166b6d66c521165c352349a96a6a4be162d3e9354c3706261
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-organica-barem.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-organica-barem.pdf,86743,4df11800e71305ca2d5e8d56c7c038dbb88de1a80cc4b108b77c3b9813db439c
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-organica-subiect.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-organica-subiect.pdf,161476,1c9050aa8aca7550b18efd81a8dd42646a7b88fb037e95ed56df9f3cb774c7b5
2013,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-anatomie-fiziologie-barem.pdf,bac/2013/biologie/sesiune-iunie-iulie/2013-iunie-iulie-anatomie-fiziologie-barem.pdf,32123,4994d732ac45ea4d7fc8008d3f251b91b50a29f8583ff0f573491104f123395c
2013,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-anatomie-fiziologie-subiect.pdf,bac/2013/biologie/sesiune-iunie-iulie/2013-iunie-iulie-anatomie-fiziologie-subiect.pdf,32540,17ff4bbe816ba2b73f66c5253be94a78e14db4a020a1a168f49c43e17ae39db3
