an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-mate-info-barem.pdf,bac/2012/informatica/sesiune-iunie-iulie/2012-iunie-iulie-mate-info-barem.pdf,154216,4253abf7b6d77b8ac6dc5405bd25565b4b53119e5930b5577c9832621322426c
2012,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-mate-info-subiect.pdf,bac/2012/informatica/sesiune-iunie-iulie/2012-iunie-iulie-mate-info-subiect.pdf,204816,027d0e68a22d635b9190ad52dac1cf2a952673478ed5063d9b54d4e9e1560387
2012,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-stiinte-naturii-barem.pdf,bac/2012/informatica/sesiune-iunie-iulie/2012-iunie-iulie-stiinte-naturii-barem.pdf,140957,7518baf5c8ee4d41717db6ed8bfee3c2531508d00c520a790ec9bd1a60ced872
2012,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2012/informatica/sesiune-iunie-iulie/2012-iunie-iulie-stiinte-naturii-subiect.pdf,140350,27255138768791e4b032f4de6200990424baeb64caed0af519a8c8dbc4680004
2013,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-mate-info-barem.pdf,bac/2013/informatica/sesiune-iunie-iulie/2013-iunie-iulie-mate-info-barem.pdf,54999,24ac02a8dca6dcc64828ceca4d634156dd70609ebbf2b5cb9f1ac2944a8870ef
2013,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-mate-info-subiect.pdf,bac/2013/informatica/sesiune-iunie-iulie/2013-iunie-iulie-mate-info-subiect.pdf,82389,9129c552a3175c55877519629241cd73961a3dd3137b2d922ab8a96669d4c14b
2013,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-stiinte-naturii-barem.pdf,bac/2013/informatica/sesiune-iunie-iulie/2013-iunie-iulie-stiinte-naturii-barem.pdf,58362,fba76447448b656d94022f29e1d4c56f961123e98458c007d190c1713e7de477
2013,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2013/informatica/sesiune-iunie-iulie/2013-iunie-iulie-stiinte-naturii-subiect.pdf,76566,df789234431ca87307ade3c543c9acb84bde1239cc35377f1a33c928d494ab31
2013,informatica,Informatica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-mate-info-barem.pdf,bac/2013/informatica/sesiune-speciala/2013-speciala-mate-info-barem.pdf,140106,656716c56715267d10ec7689d684bb1c0e4199d6484139ae9e40dc2475b80a12
2013,informatica,Informatica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-mate-info-subiect.pdf,bac/2013/informatica/sesiune-speciala/2013-speciala-mate-info-subiect.pdf,140274,4a0bf32dbd6b287de7fa0aa34de377ee85840da3cb2d328417b39e9ae11c79a7
2014,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-mate-info-barem.pdf,bac/2014/informatica/sesiune-iunie-iulie/2014-iunie-iulie-mate-info-barem.pdf,60453,f93f9266e0d6d23a048252c804629d15d99033167580024d2458098a2b24e423
2014,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-mate-info-subiect.pdf,bac/2014/informatica/sesiune-iunie-iulie/2014-iunie-iulie-mate-info-subiect.pdf,79475,7b9565643879b729317a4d7868f16897f235c930f83c631c2bbae542992cba97
2014,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-stiinte-naturii-barem.pdf,bac/2014/informatica/sesiune-iunie-iulie/2014-iunie-iulie-stiinte-naturii-barem.pdf,61068,741f53505ed1c6731c3a18685a142735d7cb4670e8640b0bec80eafd808aa966
2014,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2014/informatica/sesiune-iunie-iulie/2014-iunie-iulie-stiinte-naturii-subiect.pdf,76493,befed33dd9a42fec55f2e46db14c2714a6a0cc48d8de1388a4b553f66b4dc757
2014,informatica,Informatica,simulare,Simulare,barem,2014-simulare-mate-info-barem.pdf,bac/2014/informatica/simulare/2014-simulare-mate-info-barem.pdf,37449,738f55ba0f2d6784d2c62a3aa456575ec1c3fd0bc6adaa92e2d3879312a353d1
2014,informatica,Informatica,simulare,Simulare,subiect,2014-simulare-mate-info-subiect.pdf,bac/2014/informatica/simulare/2014-simulare-mate-info-subiect.pdf,66131,6b4088446fb9265d6d8c346965f24379679d0e0163d5cd02452d9d9909f626f0
2014,informatica,Informatica,simulare,Simulare,barem,2014-simulare-stiinte-naturii-barem.pdf,bac/2014/informatica/simulare/2014-simulare-stiinte-naturii-barem.pdf,44549,1b63984a92887fc19c4e783dbf27bdc3dfa7eabf8c6f423a1564676925b01386
2014,informatica,Informatica,simulare,Simulare,subiect,2014-simulare-stiinte-naturii-subiect.pdf,bac/2014/informatica/simulare/2014-simulare-stiinte-naturii-subiect.pdf,67001,2e0ab3784acfd688df152567f98f543771ed01df77abd056cca54675634cbb87
2015,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-mate-info-barem.pdf,bac/2015/informatica/sesiune-iunie-iulie/2015-iunie-iulie-mate-info-barem.pdf,57292,b8a4e55d8b743fd646bac34467f21afb88f88ca2fade1018385efde42019b4b6
2015,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-mate-info-subiect.pdf,bac/2015/informatica/sesiune-iunie-iulie/2015-iunie-iulie-mate-info-subiect.pdf,74425,5faf805bb8be2b66669c4acbbe298bbb91dd01308d652fd53817cf0af284f077
2015,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-stiinte-naturii-barem.pdf,bac/2015/informatica/sesiune-iunie-iulie/2015-iunie-iulie-stiinte-naturii-barem.pdf,57415,e0b2ff275a769e50e706ddc6fddc0e365ddca204eaf3f653613a382fbb335ecf
2015,informatica,Informatica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-stiinte-naturii-subiect.pdf,bac/2015/informatica/sesiune-iunie-iulie/2015-iunie-iulie-stiinte-naturii-subiect.pdf,66185,0d756e2ef5cd40e7ba5b7a1b25a7d5e45ee4fea8b5473fb795ffa29537a33f3f
2015,informatica,Informatica,simulare,Simulare,barem,2015-simulare-mate-info-barem.pdf,bac/2015/informatica/simulare/2015-simulare-mate-info-barem.pdf,52009,5a69feab157b62ed891ab7dc68f02cc0e8aa401f77a7f73d97750cb5e0cf86be
2015,informatica,Informatica,simulare,Simulare,subiect,2015-simulare-mate-info-subiect.pdf,bac/2015/informatica/simulare/2015-simulare-mate-info-subiect.pdf,69621,2ccbfa6e28becd8a7e21205e59e22faeb8dd0f22821d397c45083e94809de187
2015,informatica,Informatica,simulare,Simulare,barem,2015-simulare-stiinte-naturii-barem.pdf,bac/2015/informatica/simulare/2015-simulare-stiinte-naturii-barem.pdf,60913,8d2b1c308b2bd0320fb259d27eee949961186e016bfa7aca91101f61c7f929bd
2015,informatica,Informatica,simulare,Simulare,subiect,2015-simulare-stiinte-naturii-subiect.pdf,bac/2015/informatica/simulare/2015-simulare-stiinte-naturii-subiect.pdf,67455,8558061d45956a6dcb7430360c70833073b1c435be6b9e29c907ce4ba5b744c0
2016,informatica,Informatica,sesiune-speciala,Sesiunea speciala,barem,2016-speciala-mate-info-barem.pdf,bac/2016/informatica/sesiune-speciala/2016-speciala-mate-info-barem.pdf,56958,79bfa982e65b41c9446f2a7852f20246e0ec74cfb8848a7a070e1368c40c6968
2016,informatica,Informatica,sesiune-speciala,Sesiunea speciala,subiect,2016-speciala-mate-info-subiect.pdf,bac/2016/informatica/sesiune-speciala/2016-speciala-mate-info-subiect.pdf,74301,6c51df045de3532ed2bc671227b30160e0d255c74c6616d2c71f8edda094a64e
2016,informatica,Informatica,sesiune-speciala,Sesiunea speciala,barem,2016-speciala-stiinte-naturii-barem.pdf,bac/2016/informatica/sesiune-speciala/2016-speciala-stiinte-naturii-barem.pdf,57142,fd56e889527aa83fc603c8c8f91b96aca7dc32f9d36fef2b904f5cdf5c6b8e68
2016,informatica,Informatica,sesiune-speciala,Sesiunea speciala,subiect,2016-speciala-stiinte-naturii-subiect.pdf,bac/2016/informatica/sesiune-speciala/2016-speciala-stiinte-naturii-subiect.pdf,75467,a5df39f38fd218e5e6ff5382e5047b85837809fbbcfb2dd65f5b97b2aee4d468
