an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/economie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,65524,dd2b0afb8b31bea1423e2e71164d153fef0c7091f9721ad8466223bbe0f02620
2012,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/economie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,80564,c586f3b68c96c0fe44639251f6dd639e005051707b111b8fc397fd8bc1a6d4f5
2012,geografie,Geografie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/geografie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,108744,04314835a84ff159247516ff4c4731d5d2706730efdc8ba833e51ff7dd2f4cc8
2012,geografie,Geografie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/geografie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,1193797,97b65918baf5fee13d7786476285aebc052e15e5cbb8e2fa111cb717cb93b2a1
2013,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/economie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,30608,08e39808934d2d99540687d0ee9a71f4a627b5987d68072ff31916f56d1c2869
2013,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/economie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,34297,101c9a787cebe4018c1d23803496ab9c704e1b4d31228f4c5f8c43eacca33d38
2013,economie,Economie,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-barem.pdf,bac/2013/economie/sesiune-speciala/2013-speciala-barem.pdf,63611,a0c7b969db8aff93e336b05c9561f1a15a9b1de11ce454ae37d2fced6826bab4
2013,economie,Economie,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-subiect.pdf,bac/2013/economie/sesiune-speciala/2013-speciala-subiect.pdf,74206,0ea2f57ca88da8efcf42700c8d634892d3accc699418ad33c8becc916f793691
2013,geografie,Geografie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/geografie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,42947,900f1b445083b7b980e8bd00ae40984e02e973f7c327ede777bfbe5af7983cd9
2013,geografie,Geografie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/geografie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,135433,d98a4f53d0de0fb01d4a7cabd5a224156f2a74b0ac76e4ea17dfa34721869e10
