an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/filosofie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,90249,8a9c9e48161546703234e7f994511712dd8513389a2edb8fbf324598f283b33c
2012,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/filosofie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,84193,e816f186ece6e4c1a959b75aad2a13446495dbfb8c290ea2367aecd74d35d1e7
2012,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/istorie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,93396,1b089e7981acf626c540bf4e7222c581552c8ff83e125eb07ad23dc166db01e6
2012,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/istorie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,123599,7bf8c5840a9159c2fde22d9e1a296c12fef2fbd987fd4f5b8e905802dc36d218
2012,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/logica/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,92499,ee4e50350b36533bbc1472db3676c3b17a6f6f4f0c06d196859cb6cf92042f0a
2012,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/logica/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,92389,3252be9309b10c79096fa3f980e5a597b75656498999ef384f4f13ed0b9c283a
2013,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/filosofie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,33109,d192767caa56b1fff7e166c7811adbf0a95629506560cbf478738a65732a9f24
2013,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/filosofie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,42404,b1b568b76063b39b88fa9323fbc165e808fb93f4ecb75532d23475b85e9d3614
2013,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/istorie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,36846,0ca6475f4b061fc6afcf277df920b5e9f9c8f4e7f879ff5aca6a576b1cfeba53
2013,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/istorie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,44780,6a7efea933384cc3fdb14e3407213a7357738bc37cb4d1fd9bbc79039ee90c4f
2013,istorie,Istorie,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-barem.pdf,bac/2013/istorie/sesiune-speciala/2013-speciala-barem.pdf,94812,572fa71c290a00af7104225ba57c1f0b932651ed7aed0266207f6e53191aa389
2013,istorie,Istorie,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-subiect.pdf,bac/2013/istorie/sesiune-speciala/2013-speciala-subiect.pdf,137997,d066c354d105cd32e7ac71544747fe72645c890297ee23d2b7d43dc073c5e599
2013,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/logica/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,34145,8fe114997305fcf8a9b76840f2869a95d0b3e6aed42d3179d1fe979374f98b9a
2013,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/logica/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,35892,ddb65b128c0490f2d03e2f4e8b3f209f287bedf86ffa7b6fe237e3fef71ebdc9
2013,logica,Logica,sesiune-speciala,Sesiunea speciala,barem,2013-speciala-barem.pdf,bac/2013/logica/sesiune-speciala/2013-speciala-barem.pdf,73314,b7a050e83e4b88ea5930c579ce3557555d05735f6626f2af64e3bd8f6183344d
2013,logica,Logica,sesiune-speciala,Sesiunea speciala,subiect,2013-speciala-subiect.pdf,bac/2013/logica/sesiune-speciala/2013-speciala-subiect.pdf,88612,bac887cf96cdd79020c90a6487d8772b4dd6b260e0c516a9f48f657d47b08a88
2014,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-barem.pdf,bac/2014/filosofie/sesiune-iunie-iulie/2014-iunie-iulie-barem.pdf,46985,003bc5793002ece3ef9acf93bb3c63fff3947ddeb01e0d29908a93c23afeecb0
2014,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-subiect.pdf,bac/2014/filosofie/sesiune-iunie-iulie/2014-iunie-iulie-subiect.pdf,53706,08fea642bb6fae7882e2d8c5069231048ed564723c9aa81bd28e5d2ca73f5965
2014,filosofie,Filosofie,simulare,Simulare,barem,2014-simulare-barem.pdf,bac/2014/filosofie/simulare/2014-simulare-barem.pdf,31368,416d045b12ac059a8512bf6b1e21b412b6556b89b144a2448a5ab4e381482d8f
2014,filosofie,Filosofie,simulare,Simulare,subiect,2014-simulare-subiect.pdf,bac/2014/filosofie/simulare/2014-simulare-subiect.pdf,41351,78f2f66c71fc7356af94feb8d881274a431f87925595b023e64dd0f535c6a8cd
2014,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-barem.pdf,bac/2014/istorie/sesiune-iunie-iulie/2014-iunie-iulie-barem.pdf,45789,c6a4ade4f1ddcc4a54e9cb929f46f8d165b09a8c96ad8a6f7459037aa76ca8f5
2014,istorie,Istorie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-subiect.pdf,bac/2014/istorie/sesiune-iunie-iulie/2014-iunie-iulie-subiect.pdf,58112,9bf9e8574ecdb9c892b409b62369721809ce5f03e71a56d5b6dc5af1af459255
2014,istorie,Istorie,simulare,Simulare,barem,2014-simulare-barem.pdf,bac/2014/istorie/simulare/2014-simulare-barem.pdf,36485,cad96f908fdd924566eefbc9934ffaa480cb75fb61c1bfe041ea1bf9909664c5
2014,istorie,Istorie,simulare,Simulare,subiect,2014-simulare-subiect.pdf,bac/2014/istorie/simulare/2014-simulare-subiect.pdf,50025,2de7817bf43c42ddf69336adb8e6444b8888d520ac414f44fa4556b295b77e0d
2014,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-barem.pdf,bac/2014/logica/sesiune-iunie-iulie/2014-iunie-iulie-barem.pdf,40040,06e57f2165db2c5f163a053267d143f8dfaf12c146adbaa223f30c77c62926b3
2014,logica,Logica,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-subiect.pdf,bac/2014/logica/sesiune-iunie-iulie/2014-iunie-iulie-subiect.pdf,37979,f594125aaec45bb0f702df8e1e8bd0757f2f8de977c28186900d52b156d893ae
2014,logica,Logica,simulare,Simulare,barem,2014-simulare-barem.pdf,bac/2014/logica/simulare/2014-simulare-barem.pdf,38555,98ce61e93c293aca1209c632bdc0e2a5732db5005d9d4dd7a71eebdcc7c2f589
2014,logica,Logica,simulare,Simulare,subiect,2014-simulare-subiect.pdf,bac/2014/logica/simulare/2014-simulare-subiect.pdf,35561,f21c16f34ea5ca050cf175ee88d783e270b2104558e53c6fa790d18a3d023599
2015,filosofie,Filosofie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-barem.pdf,bac/2015/filosofie/sesiune-iunie-iulie/2015-iunie-iulie-barem.pdf,30562,d71c7012fdac489e9b797e7e37651ac5671f13b9c5ba211acfd2bac465773818
