an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/psihologie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,70520,52eb1cb195c98f76576e9d451e50b9df09ac482b696f730cac9fbd4f82acdf4a
2012,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/psihologie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,89125,4f1d4344e3ba9e47cffb49aa615b8a6d8f63cd6c538a3058ff443fdaea631e99
2012,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/sociologie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,69425,85e3b47a5bafce126aac0b05d5129766ccf8c2970ec1a69cfb4ba04cb0c589a9
2012,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/sociologie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,86260,fd2f0835e171eabbdce84754ca06d226cf219dcdcfe6a981ee61b3e7f667008f
2013,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/psihologie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,36850,511dc684b78248890a6ecf2b9d0a252bf5d5966946d4bd97bd435f4236dc8fe4
2013,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/psihologie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,41507,592efdccbe948dc42a00a8ed00eda1b01fe7a746d70a46b64218065d107c7940
2013,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2013-iunie-iulie-barem.pdf,bac/2013/sociologie/sesiune-iunie-iulie/2013-iunie-iulie-barem.pdf,30398,d86032e89b6cb19c9b766a13dfa3c0e2684117eebe27f39a5cac7cf5dbd65d97
2013,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2013-iunie-iulie-subiect.pdf,bac/2013/sociologie/sesiune-iunie-iulie/2013-iunie-iulie-subiect.pdf,39158,13abb27d724a8f9a58a589d48231ca83a442872d88997813a6f14902ce49cdec
2014,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-barem.pdf,bac/2014/psihologie/sesiune-iunie-iulie/2014-iunie-iulie-barem.pdf,51450,39dad75f928da7e834771574734f1fa2f2a53e72b2b678930c6151a842ce76e5
2014,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-subiect.pdf,bac/2014/psihologie/sesiune-iunie-iulie/2014-iunie-iulie-subiect.pdf,51467,abfad955e2cbfa87d3ce13737da2d47179f1cc4849a9dc535d3e528d199ee792
2014,psihologie,Psihologie,simulare,Simulare,barem,2014-simulare-barem.pdf,bac/2014/psihologie/simulare/2014-simulare-barem.pdf,41957,13852a5d17293f10c5ad4307cee402b44ae9a6e77be59be20a448a89d997c5bf
2014,psihologie,Psihologie,simulare,Simulare,subiect,2014-simulare-subiect.pdf,bac/2014/psihologie/simulare/2014-simulare-subiect.pdf,49206,3ac4e35e10c84d1e3817e85e4c973f76d1f8c7bcb944a7e4dcbd4c9c2c306d10
2014,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2014-iunie-iulie-barem.pdf,bac/2014/sociologie/sesiune-iunie-iulie/2014-iunie-iulie-barem.pdf,43281,308459c6d0e7b1338902979c16f68dfd2516f5ad4cb5f9a28f1057e38cc9f858
2014,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2014-iunie-iulie-subiect.pdf,bac/2014/sociologie/sesiune-iunie-iulie/2014-iunie-iulie-subiect.pdf,47576,3e1858850a973012e579dfdec1e621b265d0ee9b3b6b610edf3acda24dcaf2dd
2014,sociologie,Sociologie,simulare,Simulare,barem,2014-simulare-barem.pdf,bac/2014/sociologie/simulare/2014-simulare-barem.pdf,29524,0289a678469191a30e4efb10b9292e0f8153d4c5c0b9cd36722cdf644964c635
2014,sociologie,Sociologie,simulare,Simulare,subiect,2014-simulare-subiect.pdf,bac/2014/sociologie/simulare/2014-simulare-subiect.pdf,39215,89952a12117e5e06e756508a3bbb8080d027ea99a847dd629c18e9e5bafd33a4
2015,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-barem.pdf,bac/2015/psihologie/sesiune-iunie-iulie/2015-iunie-iulie-barem.pdf,40062,cc5a3cbaa3a897cfd5f586fda002c61aa0de13d6d8c52288a4a13fb89932da25
2015,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-subiect.pdf,bac/2015/psihologie/sesiune-iunie-iulie/2015-iunie-iulie-subiect.pdf,52183,5973c36642b0ed3d6ed223c20150598a6a1747beafe2136e768985bc5ab60bd0
2015,psihologie,Psihologie,simulare,Simulare,barem,2015-simulare-barem.pdf,bac/2015/psihologie/simulare/2015-simulare-barem.pdf,38211,a6ad515e6d74bbc71a3d0a906ffede69bf8345a647c120854ba966824e1af629
2015,psihologie,Psihologie,simulare,Simulare,subiect,2015-simulare-subiect.pdf,bac/2015/psihologie/simulare/2015-simulare-subiect.pdf,41657,04e0907ea70a93401aa104bbc757bbaf9429dcd8aeee11cf82b7e19e286abc6f
2015,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2015-iunie-iulie-barem.pdf,bac/2015/sociologie/sesiune-iunie-iulie/2015-iunie-iulie-barem.pdf,32100,d3152daa672d0475142fdde64433b234624f7e411775a3bc5a57cf242b3094d3
2015,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2015-iunie-iulie-subiect.pdf,bac/2015/sociologie/sesiune-iunie-iulie/2015-iunie-iulie-subiect.pdf,42003,4eb8863afbc83a81122c2d06419defd7f5405c4b99258377c9645165bdd06372
2015,sociologie,Sociologie,simulare,Simulare,barem,2015-simulare-barem.pdf,bac/2015/sociologie/simulare/2015-simulare-barem.pdf,31938,4f8965eea88705f6caa3b9baa803637dae77e2a7f84ac9c67802df23f63acdd0
2015,sociologie,Sociologie,simulare,Simulare,subiect,2015-simulare-subiect.pdf,bac/2015/sociologie/simulare/2015-simulare-subiect.pdf,37875,51a755f2ed2e1b5bf167b0e821749cb423561cf4b55866de22b6b8d1b5c5bba0
2016,psihologie,Psihologie,sesiune-speciala,Sesiunea speciala,barem,2016-speciala-barem.pdf,bac/2016/psihologie/sesiune-speciala/2016-speciala-barem.pdf,44286,83ea78c82df1256b5ee0a2bac8225d74d7018a3d4fd11f42e66c4ebdb5fd1bb8
2016,psihologie,Psihologie,sesiune-speciala,Sesiunea speciala,subiect,2016-speciala-subiect.pdf,bac/2016/psihologie/sesiune-speciala/2016-speciala-subiect.pdf,54094,e0ab98c345c4156eeaeaafebaaa424cd0660922ad8de2f707c6953896ab72c68
2016,psihologie,Psihologie,simulare,Simulare,barem,2016-simulare-barem.pdf,bac/2016/psihologie/simulare/2016-simulare-barem.pdf,44940,db8c201c493c5c2f0a41d949a3ba6a7101f2b338bd10b009db5398208cc69fd1
2016,psihologie,Psihologie,simulare,Simulare,subiect,2016-simulare-subiect.pdf,bac/2016/psihologie/simulare/2016-simulare-subiect.pdf,44410,b3922026fb56e2b105bd30223289f5b3c8e9a7f7f23e578750c871b192f3b7ed
2016,sociologie,Sociologie,simulare,Simulare,barem,2016-simulare-barem.pdf,bac/2016/sociologie/simulare/2016-simulare-barem.pdf,32168,5d6a1c4a81cf7902c8cd56e833224f7d86bda7a5ea4fdac12ed6c8e0c1ede042
2016,sociologie,Sociologie,simulare,Simulare,subiect,2016-simulare-subiect.pdf,bac/2016/sociologie/simulare/2016-simulare-subiect.pdf,41747,2082563912d7280eed00c90081557c2750ac28017db4e4bd67c796960d5ddfff
2017,psihologie,Psihologie,simulare,Simulare,barem,2017-simulare-barem.pdf,bac/2017/psihologie/simulare/2017-simulare-barem.pdf,43169,18bbdf004c32f289b1d878d7ca8427cfd4edee846ff8f4c1f615cd6f8fd9747a
2017,psihologie,Psihologie,simulare,Simulare,subiect,2017-simulare-subiect.pdf,bac/2017/psihologie/simulare/2017-simulare-subiect.pdf,52408,220675e5ef63e3842479b28acc04933a8ff6f296c07a69858fd2fb6ef3b4d878
2017,sociologie,Sociologie,simulare,Simulare,barem,2017-simulare-barem.pdf,bac/2017/sociologie/simulare/2017-simulare-barem.pdf,31365,e3f44c5eb15e6494241809a6bb897b4f05d85dfb51110c356e03851072efcb4f
2017,sociologie,Sociologie,simulare,Simulare,subiect,2017-simulare-subiect.pdf,bac/2017/sociologie/simulare/2017-simulare-subiect.pdf,35834,682a6980295c26469c8a42eb16551981cc9f3b3a3f84565c1d8bdc12dcd6210b
2018,psihologie,Psihologie,simulare,Simulare,barem,2018-simulare-barem.pdf,bac/2018/psihologie/simulare/2018-simulare-barem.pdf,69634,d800d56c03dd30daa4493f23c0910679551c70d8bcffded96774cf9325b92987
2018,psihologie,Psihologie,simulare,Simulare,subiect,2018-simulare-subiect.pdf,bac/2018/psihologie/simulare/2018-simulare-subiect.pdf,162021,a1adc5eadcf08d4dbcc7b098184ef8f12fc786c617e5926875280c8a75eb4a85
2018,sociologie,Sociologie,simulare,Simulare,barem,2018-simulare-barem.pdf,bac/2018/sociologie/simulare/2018-simulare-barem.pdf,70879,d97068565f1595182f741971f0c2a4cb75bdfc2e913048d4fe23e2a759448bd7
2018,sociologie,Sociologie,simulare,Simulare,subiect,2018-simulare-subiect.pdf,bac/2018/sociologie/simulare/2018-simulare-subiect.pdf,88103,84319d7afe9d3a4a83305d5dffb397be5798cbdbe3d5b7aa96d5611a86be74c1
2019,psihologie,Psihologie,sesiune-august,Sesiunea august,barem,2019-august-barem.pdf,bac/2019/psihologie/sesiune-august/2019-august-barem.pdf,70753,f152990dc5d1b60ee037d82dcb08ccb635065fc7739e3513785e549257bb73e3
2019,psihologie,Psihologie,sesiune-august,Sesiunea august,subiect,2019-august-subiect.pdf,bac/2019/psihologie/sesiune-august/2019-august-subiect.pdf,151425,9d4764a270eb52f922742a9f549096b01a0bba98546b0375ad4a857619e80ed3
2019,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2019-iunie-iulie-barem.pdf,bac/2019/psihologie/sesiune-iunie-iulie/2019-iunie-iulie-barem.pdf,70193,fc0d4bb922e1f6000dec9bebf502c964730e43d853b5ccfaf9e517f6c5d2a7e0
2019,psihologie,Psihologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2019-iunie-iulie-subiect.pdf,bac/2019/psihologie/sesiune-iunie-iulie/2019-iunie-iulie-subiect.pdf,151625,c153efe31879a00fe6deb2a459c3f43e50d75ac199a50e761b91cce37b124da0
2019,psihologie,Psihologie,simulare,Simulare,barem,2019-simulare-barem.pdf,bac/2019/psihologie/simulare/2019-simulare-barem.pdf,68833,e4ec7b88d8f91446f7ef85329b82dd99e5bac51bf6bc0a50400c01b38795ea35
2019,psihologie,Psihologie,simulare,Simulare,subiect,2019-simulare-subiect.pdf,bac/2019/psihologie/simulare/2019-simulare-subiect.pdf,159038,0fd07de4d41beaeca55bd9a2b9fbd55ff1a4e65be70266cf30ae8d707fe974d3
2019,sociologie,Sociologie,sesiune-august,Sesiunea august,barem,2019-august-barem.pdf,bac/2019/sociologie/sesiune-august/2019-august-barem.pdf,60459,44e10da53a50e69b4b6f81df7d06046b854a754ecfdf9b451816d5aefb1b5595
2019,sociologie,Sociologie,sesiune-august,Sesiunea august,subiect,2019-august-subiect.pdf,bac/2019/sociologie/sesiune-august/2019-august-subiect.pdf,128590,7a5a22ebfb4f2b1c3b38209829f98d4b5f4fddce245d8a31ce86e766d092a923
2019,sociologie,Sociologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2019-iunie-iulie-barem.pdf,bac/2019/sociologie/sesiune-iunie-iulie/2019-iunie-iulie-barem.pdf,61599,6d9235e5b90af00853f4b25063269379544ddca28fe8321c89c6d9056c0068c3
