an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-anatomie-fiziologie-barem.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-anatomie-fiziologie-barem.pdf,78343,93702cc10ceec74553869922f0bbcaf94abc55d4a630db1044ea68f8e8108260
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-anatomie-fiziologie-subiect.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-anatomie-fiziologie-subiect.pdf,92845,138e6ef0b0f09fbbfb44fd1949684989ec03494d38416801804e74ecf4e42acc
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-vegetala-animala-barem.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-vegetala-animala-barem.pdf,75330,fd9537cbf65ef9f5a37b5d8d90ee71c2ac70cecc6d80ef44b69dd1a8ad4f32b2
2012,biologie,Biologie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-vegetala-animala-subiect.pdf,bac/2012/biologie/sesiune-iunie-iulie/2012-iunie-iulie-vegetala-animala-subiect.pdf,97598,ac75c6c5a02a6749ba57239bea3c8d56c92b1d7f5b9fa0ee16b34cda32b678e3
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-anorganica-barem.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-anorganica-barem.pdf,87373,c118ef9f94b323ccfd83560e17bbb0c1aed36a829c50f78e7794a42af02de30b
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-anorganica-subiect.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-anorganica-subiect.pdf,148499,7be1a7754657d99166b6d66c521165c352349a96a6a4be162d3e9354c3706261
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-organica-barem.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-organica-barem.pdf,86743,4df11800e71305ca2d5e8d56c7c038dbb88de1a80cc4b108b77c3b9813db439c
2012,chimie,Chimie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-organica-subiect.pdf,bac/2012/chimie/sesiune-iunie-iulie/2012-iunie-iulie-organica-subiect.pdf,161476,1c9050aa8aca7550b18efd81a8dd42646a7b88fb037e95ed56df9f3cb774c7b5
2012,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,barem,2012-iunie-iulie-barem.pdf,bac/2012/economie/sesiune-iunie-iulie/2012-iunie-iulie-barem.pdf,65524,dd2b0afb8b31bea1423e2e71164d153fef0c7091f9721ad8466223bbe0f02620
2012,economie,Economie,sesiune-iunie-iulie,Sesiunea iunie-iulie,subiect,2012-iunie-iulie-subiect.pdf,bac/2012/economie/sesiune-iunie-iulie/2012-iunie-iulie-subiect.pdf,80564,c586f3b68c96c0fe44639251f6dd639e005051707b111b8fc397fd8bc1a6d4f5
